ind	time	species	percent_of_full_microbiome	percent_within_assigned_family
Springbok_B	Day 5	Bacteroidaceae	0.00984844	1.32
Springbok_B	Day 5	Clostridiaceae	0.003479389	0.46
Springbok_B	Day 5	Coriobacteriaceae	0.003184526	0.43
Springbok_B	Day 5	Enterobacteriaceae	0.030370938	4.06
Springbok_B	Day 5	Enterococcaceae	0.001592263	0.21
Springbok_B	Day 5	Lachnospiraceae	0.040219378	5.37
Springbok_B	Day 5	Micrococcaceae	0.028542785	3.81
Springbok_B	Day 5	Mogibacteriaceae	0.01114584	1.49
Springbok_B	Day 5	Planococcaceae	0.533525978	71.25
Springbok_B	Day 5	Prevotellaceae	0.001238427	0.17
Springbok_B	Day 5	Rikenellaceae	0.000294864	0.04
Springbok_B	Day 5	Ruminococcaceae	0.065105856	8.69
Springbok_B	Day 5	S24-7	0.002123017	0.28
Springbok_B	Day 5	Veillonellaceae	0.000589727	0.08
Springbok_B	Day 5	Verrucomicrobiaceae	0.001769181	0.24
Springbok_B	Day 6	Bacillaceae	0.020773295	2.62
Springbok_B	Day 6	Bacteroidaceae	0.000540346	0.07
Springbok_B	Day 6	Clostridiaceae	0.002161383	0.27
Springbok_B	Day 6	Coriobacteriaceae	0.002941883	0.37
Springbok_B	Day 6	Enterobacteriaceae	0.005883766	0.74
Springbok_B	Day 6	Enterococcaceae	0.000720461	0.09
Springbok_B	Day 6	Lachnospiraceae	0.004082613	0.52
Springbok_B	Day 6	Micrococcaceae	0.01332853	1.68
Springbok_B	Day 6	Mogibacteriaceae	0.002401537	0.3
Springbok_B	Day 6	Planococcaceae	0.732528818	92.49
Springbok_B	Day 6	Prevotellaceae	0	0
Springbok_B	Day 6	Rikenellaceae	0.000360231	0.05
Springbok_B	Day 6	Ruminococcaceae	0.006123919	0.77
Springbok_B	Day 6	S24-7	6.00E-05	0.01
Springbok_B	Day 6	Veillonellaceae	6.00E-05	0.01
Springbok_B	Day 6	Verrucomicrobiaceae	6.00E-05	0.01
Springbok_B	Day 7	Bacillaceae	0.026396917	3.88
Springbok_B	Day 7	Bacteroidaceae	0.006679512	0.98
Springbok_B	Day 7	Clostridiaceae	0.005330764	0.78
Springbok_B	Day 7	Coriobacteriaceae	0.003468208	0.51
Springbok_B	Day 7	Enterobacteriaceae	0.00539499	0.79
Springbok_B	Day 7	Enterococcaceae	0.0014772	0.22
Springbok_B	Day 7	Lachnospiraceae	0.015928067	2.34
Springbok_B	Day 7	Micrococcaceae	0.006807964	1
Springbok_B	Day 7	Mogibacteriaceae	0.008798972	1.29
Springbok_B	Day 7	Planococcaceae	0.569299936	83.73
Springbok_B	Day 7	Prevotellaceae	0.000192678	0.03
Springbok_B	Day 7	Rikenellaceae	0.000128452	0.02
Springbok_B	Day 7	Ruminococcaceae	0.027231856	4
Springbok_B	Day 7	S24-7	0.000449583	0.07
Springbok_B	Day 7	Veillonellaceae	0.002312139	0.34
Springbok_B	Day 7	Verrucomicrobiaceae	6.42E-05	0.01
